10000001,1,2022-01-05,0-306-40615-2,2,ordered
10000002,2,2022-02-10,1-891830-85-0,1,shipped
10000003,3,2022-03-15,0-321-14653-0,3,received
10000004,4,2022-04-20,0-596-00873-2,4,failed
10000005,5,2022-05-25,0-201-61586-9,2,ordered
10000006,6,2022-06-30,0-596-52717-8,1,shipped
10000007,7,2022-07-05,0-321-78184-7,3,received
10000008,8,2022-08-10,0-7356-2052-9,2,shipped
10000009,9,2022-09-15,0-13-235088-2,1,received
10000010,10,2022-10-20,0-471-11709-9,2,ordered
10000011,11,2022-11-25,0-596-10046-9,3,shipped
10000012,12,2022-12-30,0-201-92488-8,1,received
10000013,13,2023-01-05,0-13-110362-8,2,shipped
10000014,14,2023-02-10,0-596-00572-4,4,ordered
10000015,15,2023-03-15,0-13-235088-2,1,received
10000016,1,2022-03-03,0-321-14653-0,1,ordered
10000017,2,2022-04-05,0-201-61586-9,2,shipped
10000018,3,2022-05-10,0-596-52717-8,3,received
10000019,4,2022-06-15,0-321-78184-7,1,shipped
10000020,5,2022-07-20,0-7356-2052-9,2,received
10000021,6,2022-08-25,0-13-235088-2,3,ordered
10000022,7,2022-09-30,0-471-11709-9,1,shipped
10000023,8,2022-10-05,0-596-10046-9,2,received
10000024,10,2022-12-15,0-201-92488-8,4,ordered
10000025,11,2023-01-20,0-13-110362-8,1,shipped
10000026,12,2023-02-25,0-596-00572-4,2,received
10000027,13,2023-03-30,0-201-61586-9,3,ordered
10000028,14,2023-04-05,0-321-78184-7,1,shipped
10000029,15,2023-05-10,0-7356-2052-9,2,received
10000030,1,2022-06-10,0-471-11709-9,3,ordered
10000031,2,2022-07-15,0-596-10046-9,1,shipped
10000032,3,2022-08-20,0-201-92488-8,2,received
10000033,4,2022-09-25,0-13-110362-8,4,ordered
10000034,5,2022-10-30,0-596-00572-4,1,shipped
10000035,6,2022-11-05,0-321-14653-0,2,received
10000036,7,2022-12-10,0-201-61586-9,3,ordered
10000037,8,2022-01-15,0-596-52717-8,4,shipped
10000038,9,2022-02-20,0-321-78184-7,2,received
10000039,10,2022-03-25,0-7356-2052-9,1,ordered
10000040,11,2022-04-30,0-471-11709-9,2,shipped
10000041,12,2022-05-05,0-596-10046-9,3,received
10000042,13,2022-06-10,0-201-92488-8,1,ordered
10000043,14,2023-07-15,0-13-110362-8,2,shipped
10000044,15,2023-08-20,0-596-00572-4,4,received
